timestamp,source_ip,destination_ip,protocol,port,action
2026-09-01 10:00:00,10.0.0.15,192.168.1.10,TCP,22,CONNECT
2026-09-01 10:05:32,10.0.0.15,192.168.1.10,TCP,443,CONNECT
2026-09-01 10:08:00,10.0.0.15,10.0.0.5,TCP,3306,CONNECT
2026-09-01 10:30:00,192.168.1.50,192.168.1.10,TCP,443,CONNECT
2026-09-01 10:35:00,10.0.0.15,8.8.8.8,UDP,53,DNS_QUERY
2026-09-01 11:00:00,10.0.0.15,185.220.101.1,TCP,443,CONNECT
2026-09-01 11:05:00,10.0.0.15,185.220.101.1,TCP,443,BLOCKED
2026-09-01 23:35:00,10.0.0.15,192.168.1.10,TCP,22,CONNECT
2026-09-02 02:15:00,10.0.0.15,185.220.101.1,TCP,9001,CONNECT
2026-09-02 02:16:00,10.0.0.15,192.168.1.10,TCP,443,CONNECT
